               epoch,      train/box_loss,      train/cls_loss,      train/dfl_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/cls_loss,        val/dfl_loss,               x/lr0,               x/lr1,               x/lr2
                  39,              1.8235,              1.7064,              2.0519,             0.72509,             0.59227,              0.6714,             0.36839,                   0,                   0,                   0,           0.0014416,           0.0014416,           0.0014416
                  40,              1.8122,              1.6864,               2.045,             0.72853,             0.59449,             0.67535,             0.37136,                   0,                   0,                   0,            0.001236,            0.001236,            0.001236
                  41,               1.805,              1.6721,              2.0354,             0.73212,              0.5961,             0.67837,             0.37462,                   0,                   0,                   0,           0.0010454,           0.0010454,           0.0010454
                  42,              1.7974,              1.6561,              2.0286,             0.73289,             0.60002,             0.68181,             0.37783,                   0,                   0,                   0,          0.00087058,          0.00087058,          0.00087058
                  43,              1.7909,               1.642,              2.0222,             0.73701,             0.60233,             0.68582,             0.38121,                   0,                   0,                   0,          0.00071228,          0.00071228,          0.00071228
                  44,               1.785,              1.6302,              2.0196,             0.73416,             0.60847,             0.68955,              0.3846,                   0,                   0,                   0,          0.00057111,          0.00057111,          0.00057111
                  45,              1.7798,              1.6203,              2.0184,             0.73901,              0.6122,             0.69331,             0.38789,                   0,                   0,                   0,          0.00044761,          0.00044761,          0.00044761
                  46,              1.7735,              1.6101,              2.0155,             0.73664,             0.61865,             0.69651,             0.39111,                   0,                   0,                   0,          0.00034227,          0.00034227,          0.00034227
                  47,              1.7329,               1.507,              2.1452,              0.7381,             0.62256,             0.70035,             0.39451,                   0,                   0,                   0,          0.00025551,          0.00025551,          0.00025551
                  48,              1.7198,              1.4789,              2.1309,             0.73974,             0.62777,             0.70464,             0.39752,                   0,                   0,                   0,          0.00018768,          0.00018768,          0.00018768
                  49,              1.7115,              1.4673,              2.1239,             0.74514,              0.6288,             0.70816,             0.40068,                   0,                   0,                   0,          0.00013903,          0.00013903,          0.00013903
